cell_id,lon_centroid,lat_centroid
1813,27.125,-28.375
1814,27.375,-28.375
1815,27.625,-28.375
1816,27.875,-28.375
1817,28.125,-28.375
1818,28.375,-28.375
1819,28.625,-28.375
1820,28.875,-28.375
1821,29.125,-28.375
1822,29.375,-28.375
1823,29.625,-28.375
1824,29.875,-28.375
1825,30.125,-28.375
1826,30.375,-28.375
1827,30.625,-28.375
1828,30.875,-28.375
1829,31.125,-28.375
1830,31.375,-28.375
1831,31.625,-28.375
1832,31.875,-28.375
1833,32.125,-28.375
1834,32.375,-28.375
1841,17.125,-28.125
1853,20.125,-28.125
1854,20.375,-28.125
1855,20.625,-28.125
1856,20.875,-28.125
1857,21.125,-28.125
1858,21.375,-28.125
1859,21.625,-28.125
1860,21.875,-28.125
1861,22.125,-28.125
1862,22.375,-28.125
1863,22.625,-28.125
1864,22.875,-28.125
1865,23.125,-28.125
1866,23.375,-28.125
1867,23.625,-28.125
1868,23.875,-28.125
1869,24.125,-28.125
1870,24.375,-28.125
1871,24.625,-28.125
1872,24.875,-28.125
1873,25.125,-28.125
1874,25.375,-28.125
1875,25.625,-28.125
1876,25.875,-28.125
1877,26.125,-28.125
1878,26.375,-28.125
1879,26.625,-28.125
1880,26.875,-28.125
1881,27.125,-28.125
1882,27.375,-28.125
1883,27.625,-28.125
1884,27.875,-28.125
1885,28.125,-28.125
1886,28.375,-28.125
1887,28.625,-28.125
1888,28.875,-28.125
1889,29.125,-28.125
1890,29.375,-28.125
1891,29.625,-28.125
1892,29.875,-28.125
1893,30.125,-28.125
1894,30.375,-28.125
1895,30.625,-28.125
1896,30.875,-28.125
1897,31.125,-28.125
1898,31.375,-28.125
1899,31.625,-28.125
1900,31.875,-28.125
1901,32.125,-28.125
1902,32.375,-28.125
1921,20.125,-27.875
1922,20.375,-27.875
1923,20.625,-27.875
1924,20.875,-27.875
1925,21.125,-27.875
1926,21.375,-27.875
1927,21.625,-27.875
1928,21.875,-27.875
1929,22.125,-27.875
1930,22.375,-27.875
1931,22.625,-27.875
1932,22.875,-27.875
1933,23.125,-27.875
1934,23.375,-27.875
1935,23.625,-27.875
1936,23.875,-27.875
1937,24.125,-27.875
1938,24.375,-27.875
1939,24.625,-27.875
1940,24.875,-27.875
1941,25.125,-27.875
1942,25.375,-27.875
1943,25.625,-27.875
1944,25.875,-27.875
1945,26.125,-27.875
1946,26.375,-27.875
1947,26.625,-27.875
1948,26.875,-27.875
1949,27.125,-27.875
1950,27.375,-27.875
1951,27.625,-27.875
1952,27.875,-27.875
1953,28.125,-27.875
1954,28.375,-27.875
1955,28.625,-27.875
1956,28.875,-27.875
1957,29.125,-27.875
1958,29.375,-27.875
1959,29.625,-27.875
1960,29.875,-27.875
1961,30.125,-27.875
1962,30.375,-27.875
1963,30.625,-27.875
1964,30.875,-27.875
1965,31.125,-27.875
1966,31.375,-27.875
1967,31.625,-27.875
1968,31.875,-27.875
1969,32.125,-27.875
1970,32.375,-27.875
1989,20.125,-27.625
1990,20.375,-27.625
1991,20.625,-27.625
1992,20.875,-27.625
1993,21.125,-27.625
1994,21.375,-27.625
1995,21.625,-27.625
1996,21.875,-27.625
1997,22.125,-27.625
1998,22.375,-27.625
1999,22.625,-27.625
2000,22.875,-27.625
2001,23.125,-27.625
2002,23.375,-27.625
2003,23.625,-27.625
2004,23.875,-27.625
