"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","biome","bioregion","veg_type"
24.125,-33.625,373,541,99,159,20.0267391204834,782,0.458600014448166,15.875,26.8999996185303,4.59999990463257,11.8166666030884,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Baviaanskloof Shale Renosterveld"
24.625,-33.625,375,528,100,154,18.7127857208252,659,0.486400008201599,16.5416660308838,26.3999996185303,5.80000019073486,11,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Grassy Sandstone Fynbos"
25.125,-33.625,377,510,90,151,21.7757434844971,656,0.699699997901917,15.875,25.7999992370605,4.90000009536743,11.4499998092651,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Sandstone Fynbos"
25.375,-33.625,378,481,84,143,21.732873916626,507,0.638300001621246,16.8333339691162,26.8999996185303,5.59999990463257,11.9833335876465,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Grassy Sandstone Fynbos"
25.625,-33.625,379,444,84,131,18.0237407684326,108,0.465999990701675,18.5041675567627,28.7000007629395,7,12.341667175293,"Albany Thicket","Albany Thicket","Sundays Valley Thicket"
25.875,-33.625,380,515,96,158,19.2102069854736,182,0.452899992465973,17.9583339691162,27.3999996185303,7.80000019073486,11.3666667938232,"Albany Thicket","Albany Thicket","Nanaga Savanna Thicket"
26.125,-33.625,381,581,106,183,21.0380706787109,242,0.785600006580353,17.720832824707,26.3999996185303,8.60000038146973,10.4250001907349,"Savanna","Sub-Escarpment Savanna Bioregion","South Eastern Coastal Thornveld"
26.375,-33.625,382,626,113,198,21.6517658233643,193,0.718200027942657,18.0458335876465,26.7999992370605,9,10.4916667938232,"Albany Thicket","Albany Thicket","Albany Mesic Thicket"
26.625,-33.625,383,659,122,207,21.1391506195068,111,0.740800023078918,18.5375003814697,26.2999992370605,10.3000001907349,9.35833263397217,"Albany Thicket","Albany Thicket","Albany Mesic Thicket"
18.375,-33.375,418,443,37,213,67.0180587768555,137,0.433200001716614,17.0708332061768,27.7999992370605,8,10.8249998092651,"Fynbos","West Coast Renosterveld Bioregion","Swartland Granite Renosterveld"
19.125,-33.375,421,539,55,247,59.9133033752441,303,0.424400001764297,16.125,28.2000007629395,5.40000009536743,11.5999994277954,"Fynbos","Southwest Fynbos Bioregion","Hawequas Sandstone Fynbos"
19.375,-33.375,422,465,50,213,59.2240219116211,539,0.568499982357025,16.3958339691162,30.2000007629395,4.19999980926514,13.5250005722046,"Fynbos","Western Fynbos-Renosterveld Bioregion","Ceres Shale Renosterveld"
19.625,-33.375,423,444,76,162,33.58837890625,1942,0.237100005149841,10.8166666030884,22.7000007629395,0.400000005960464,11.6000003814697,"Fynbos","Northwest Fynbos Bioregion","Western Altimontane Sandstone Fynbos"
19.875,-33.375,424,297,42,117,42.0594291687012,1140,0.345999985933304,14.2291669845581,27.7999992370605,2.09999990463257,13.625,"Fynbos","Northwest Fynbos Bioregion","North Hex Sandstone Fynbos"
20.125,-33.375,425,238,35,89,37.8967018127441,808,0.371899992227554,16.3500003814697,30.6000003814697,3.29999995231628,14.2833337783813,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
